title,description,pubdate
Rail upgrade pledge as Leeds HS2 leg to be scrapped,"Ministers promise faster local upgrades, but the high-speed link from Birmingham to Leeds is set to be cut.","Thu, 18 Nov 2021 10:16:07 GMT"
Peng Shuai: Doubt cast on email from Chinese tennis star,Peng Shuai has not been heard from since she made sexual assault allegations against a top Chinese official.,"Thu, 18 Nov 2021 07:19:17 GMT"
Boris Johnson: I crashed the car over Owen Paterson case,The comments follow MPs voting to tighten the rules around paid work on top of their constituency job.,"Thu, 18 Nov 2021 09:51:18 GMT"
Widow demands answers over Covid official Andrew Slorance's death,Top civil servant Andrew Slorance was treated for an undisclosed infection at a troubled hospital.,"Thu, 18 Nov 2021 06:03:11 GMT"
First long-acting injection for HIV approved,"England's drugs watchdog says it is as effective as daily pills, without the burden of taking them.","Thu, 18 Nov 2021 09:49:37 GMT"
"Alec Baldwin: Rust script didn't call for gun to be fired, lawsuit alleges",A crew member is suing the actor over the fatal on-set shooting of cinematographer Halyna Hutchins.,"Wed, 17 Nov 2021 23:21:23 GMT"
Cladding crisis: Year-long struggle to get help,"Under shared ownership, Emma owns 50% of her flat - but is liable for all the cladding costs.","Thu, 18 Nov 2021 06:06:21 GMT"
Travis Scott and Astroworld organisers sued for $750m,The rapper and festival organisers are sued by more than 125 people caught up in the deadly crush.,"Thu, 18 Nov 2021 10:06:37 GMT"
Devizes fire: Crews tackle huge blaze at recycling centre,Neighbours are urged to keep their windows closed due to the smoke fumes.,"Thu, 18 Nov 2021 10:05:00 GMT"
Birmingham couple reunited with Big Ginge after 10 years,Owners Colin Clayton and Eva Bellamy say they have no idea where he has spent the last decade.,"Thu, 18 Nov 2021 10:03:12 GMT"
Walkers crisp shortage leaves Leicestershire family desperate,"Due to an eating disorder, a specific type of crisp is one of the few things Ava, four, will eat.","Thu, 18 Nov 2021 06:09:57 GMT"
The Papers: PM's sleaze row 'car crash' and Queen back on duty,Many of Thursday's front pages focus on the government plans to prevent MPs taking certain second jobs.,"Thu, 18 Nov 2021 05:58:16 GMT"
Leeds gymnast breaks Guinness World Record backflip record,Ash Watson somersaulted more than 19ft to smash his own gymnastic world record.,"Thu, 18 Nov 2021 06:21:02 GMT"
Vietnam: Police summon noodle seller over Salt Bae parody,The Vietnamese man filmed himself flamboyantly seasoning noodles and called himself spring onion bae.,"Thu, 18 Nov 2021 08:49:10 GMT"
South Korea Suneung exam: 'I wanted to cry and quit everything',"Students in South Korea are sitting one of the hardest exams in the world, called Suneung.","Thu, 18 Nov 2021 00:01:36 GMT"
Cumbrian teenager takes on family farm after losing parents,The 18-year-old started running the family farm after losing both his parents in one year.,"Thu, 18 Nov 2021 06:26:03 GMT"
Why Mexico is not prepared for the migrant caravan,"Thousands of migrants are travelling north, often expecting US entry will be easier than before.","Thu, 18 Nov 2021 00:01:29 GMT"
Red crabs swarm across roads and bridges in Australia,An annual migration of red crabs has covered roads and bridges on an Australian island.,"Wed, 17 Nov 2021 17:49:06 GMT"
British Columbia storm: Cows rescued from storm floods by jet ski,People had to move cows to higher ground after devastating flooding in Canada's British Columbia.,"Wed, 17 Nov 2021 22:25:21 GMT"
Peak District photographer chuffed with 'man on the Moon' shot,"The mystery subject is thanked for being ""in the right place at the right time"".","Wed, 17 Nov 2021 10:52:45 GMT"
"HS2: What is the route, when will it be finished and what will it cost?","The high-speed railway between London, the Midlands and North of England has been scaled back.","Thu, 18 Nov 2021 09:37:36 GMT"
Azeem Rafiq: What England's cricket racism scandal is all about,Azeem Rafiq says he faced years of racist abuse while playing for Yorkshire Cricket Club.,"Wed, 17 Nov 2021 19:04:50 GMT"
"Liverpool bomb: Flames beat me back, says explosion witness",Liam Spencer and Stephanie Stitt were yards away from the explosion outside Liverpool Women's Hospital.,"Wed, 17 Nov 2021 22:00:13 GMT"
The mums using Instagram to offer advice to new parents,Covid has led to an increase in parenting gurus using social media to support new mums and dads.,"Thu, 18 Nov 2021 00:05:11 GMT"
